MV,LSTAT,CRIM,CHAS,RM,DIS,RAD,TAX,PT,B,ZN,NOX,INDUS,AGE
24,4.98,0.00632,0,6.575,4.09,1,296,15.3,396.9,18,0.538,2.31,65.2
21.6,9.14,0.02731,0,6.421,4.9671,2,242,17.8,396.9,0,0.469,7.07,78.9
34.7,4.03,0.02729,0,7.185,4.9671,2,242,17.8,392.83,0,0.469,7.07,61.1
33.4,2.94,0.03237,0,6.998,6.0622,3,222,18.7,394.63,0,0.458,2.18,45.8
36.2,5.33,0.06905,0,7.147,6.0622,3,222,18.7,396.9,0,0.458,2.18,54.2
28.7,5.21,0.02985,0,6.43,6.0622,3,222,18.7,394.12,0,0.458,2.18,58.7
22.9,12.43,0.08829,0,6.012,5.5605,5,311,15.2,395.6,12.5,0.524,7.87,66.6
27.1,19.15,0.14455,0,6.172,5.9505,5,311,15.2,396.9,12.5,0.524,7.87,96.1
16.5,29.93,0.21124,0,5.631,6.0821,5,311,15.2,386.63,12.5,0.524,7.87,100
18.9,17.1,0.17004,0,6.004,6.5921,5,311,15.2,386.71,12.5,0.524,7.87,85.9
15,20.45,0.22489,0,6.377,6.3467,5,311,15.2,392.52,12.5,0.524,7.87,94.3
18.9,13.27,0.11747,0,6.009,6.2267,5,311,15.2,396.9,12.5,0.524,7.87,82.9
21.7,15.71,0.09378,0,5.889,5.4509,5,311,15.2,390.5,12.5,0.524,7.87,39
20.4,8.26,0.62976,0,5.949,4.7075,4,307,21,396.9,0,0.538,8.14,61.8
18.2,10.26,0.63796,0,6.096,4.4619,4,307,21,380.02,0,0.538,8.14,84.5
19.9,8.47,0.62739,0,5.834,4.4986,4,307,21,395.62,0,0.538,8.14,56.5
23.1,6.58,1.05393,0,5.935,4.4986,4,307,21,386.85,0,0.538,8.14,29.3
17.5,14.67,0.7842,0,5.99,4.2579,4,307,21,386.75,0,0.538,8.14,81.7
20.2,11.69,0.80271,0,5.456,3.7965,4,307,21,288.99,0,0.538,8.14,36.6
18.2,11.28,0.7258,0,5.727,3.7965,4,307,21,390.95,0,0.538,8.14,69.5
13.6,21.02,1.25179,0,5.57,3.7979,4,307,21,376.57,0,0.538,8.14,98.1
19.6,13.83,0.85204,0,5.965,4.0123,4,307,21,392.53,0,0.538,8.14,89.2
15.2,18.72,1.23247,0,6.142,3.9769,4,307,21,396.9,0,0.538,8.14,91.7
14.5,19.88,0.98843,0,5.813,4.0952,4,307,21,394.54,0,0.538,8.14,100
15.6,16.3,0.75026,0,5.924,4.3996,4,307,21,394.33,0,0.538,8.14,94.1
13.9,16.51,0.84054,0,5.599,4.4546,4,307,21,303.42,0,0.538,8.14,85.7
16.6,14.81,0.67191,0,5.813,4.682,4,307,21,376.88,0,0.538,8.14,90.3
14.8,17.28,0.95577,0,6.047,4.4534,4,307,21,306.38,0,0.538,8.14,88.8
18.4,12.8,0.77299,0,6.495,4.4547,4,307,21,387.94,0,0.538,8.14,94.4
21,11.98,1.00245,0,6.674,4.239,4,307,21,380.23,0,0.538,8.14,87.3
12.7,22.6,1.13081,0,5.713,4.233,4,307,21,360.17,0,0.538,8.14,94.1
14.5,13.04,1.35472,0,6.072,4.175,4,307,21,376.73,0,0.538,8.14,100
13.2,27.71,1.38799,0,5.95,3.99,4,307,21,232.6,0,0.538,8.14,82
13.1,18.35,1.15172,0,5.701,3.7872,4,307,21,358.77,0,0.538,8.14,95
13.5,20.34,1.61282,0,6.096,3.7598,4,307,21,248.31,0,0.538,8.14,96.9
18.9,9.68,0.06417,0,5.933,3.3603,5,279,19.2,396.9,0,0.499,5.96,68.2
20,11.41,0.09744,0,5.841,3.3779,5,279,19.2,377.56,0,0.499,5.96,61.4
21,8.77,0.08014,0,5.85,3.9342,5,279,19.2,396.9,0,0.499,5.96,41.5
24.7,10.13,0.17505,0,5.966,3.8473,5,279,19.2,393.43,0,0.499,5.96,30.2
30.8,4.32,0.02763,0,6.595,5.4011,3,252,18.3,395.63,75,0.428,2.95,21.8
34.9,1.98,0.03359,0,7.024,5.4011,3,252,18.3,395.62,75,0.428,2.95,15.8
26.6,4.84,0.12744,0,6.77,5.7209,3,233,17.9,385.41,0,0.448,6.91,2.9
25.3,5.81,0.1415,0,6.169,5.7209,3,233,17.9,383.37,0,0.448,6.91,6.6
24.7,7.44,0.15936,0,6.211,5.7209,3,233,17.9,394.46,0,0.448,6.91,6.5
21.2,9.55,0.12269,0,6.069,5.7209,3,233,17.9,389.39,0,0.448,6.91,40
19.3,10.21,0.17142,0,5.682,5.1004,3,233,17.9,396.9,0,0.448,6.91,33.8
20,14.15,0.18836,0,5.786,5.1004,3,233,17.9,396.9,0,0.448,6.91,33.3
16.6,18.8,0.22927,0,6.03,5.6894,3,233,17.9,392.74,0,0.448,6.91,85.5
14.4,30.81,0.25387,0,5.399,5.87,3,233,17.9,396.9,0,0.448,6.91,95.3
19.4,16.2,0.21977,0,5.602,6.0877,3,233,17.9,396.9,0,0.448,6.91,62
19.7,13.45,0.08873,0,5.963,6.8147,4,243,16.8,395.56,21,0.439,5.64,45.7
20.5,9.43,0.04337,0,6.115,6.8147,4,243,16.8,393.97,21,0.439,5.64,63
25,5.28,0.0536,0,6.511,6.8147,4,243,16.8,396.9,21,0.439,5.64,21.1
23.4,8.43,0.04981,0,5.998,6.8147,4,243,16.8,396.9,21,0.439,5.64,21.4
18.9,14.8,0.0136,0,5.888,7.3197,3,469,21.1,396.9,75,0.41,4,47.6
35.4,4.81,0.01311,0,7.249,8.6966,5,226,17.9,395.93,90,0.403,1.22,21.9
24.7,5.77,0.02055,0,6.383,9.1876,2,313,17.3,396.9,85,0.41,0.74,35.7
31.6,3.95,0.01432,0,6.816,8.3248,5,256,15.1,392.9,100,0.411,1.32,40.5
23.3,6.86,0.15445,0,6.145,7.8148,8,284,19.7,390.68,25,0.453,5.13,29.2
19.6,9.22,0.10328,0,5.927,6.932,8,284,19.7,396.9,25,0.453,5.13,47.2
18.7,13.15,0.14932,0,5.741,7.2254,8,284,19.7,395.11,25,0.453,5.13,66.2
16,14.44,0.17171,0,5.966,6.8185,8,284,19.7,378.08,25,0.453,5.13,93.4
22.2,6.73,0.11027,0,6.456,7.2255,8,284,19.7,396.9,25,0.453,5.13,67.8
25,9.5,0.1265,0,6.762,7.9809,8,284,19.7,395.58,25,0.453,5.13,43.4
33,8.05,0.01951,0,7.104,9.2229,3,216,18.6,393.24,17.5,0.4161,1.38,59.5
23.5,4.67,0.03584,0,6.29,6.6115,4,337,16.1,396.9,80,0.398,3.37,17.8
19.4,10.24,0.04379,0,5.787,6.6115,4,337,16.1,396.9,80,0.398,3.37,31.1
22,8.1,0.05789,0,5.878,6.498,4,345,18.9,396.21,12.5,0.409,6.07,21.4
17.4,13.09,0.13554,0,5.594,6.498,4,345,18.9,396.9,12.5,0.409,6.07,36.8
20.9,8.79,0.12816,0,5.885,6.498,4,345,18.9,396.9,12.5,0.409,6.07,33
24.2,6.72,0.08826,0,6.417,5.2873,4,305,19.2,383.73,0,0.413,10.81,6.6
21.7,9.88,0.15876,0,5.961,5.2873,4,305,19.2,376.94,0,0.413,10.81,17.5
22.8,5.52,0.09164,0,6.065,5.2873,4,305,19.2,390.91,0,0.413,10.81,7.8
23.4,7.54,0.19539,0,6.245,5.2873,4,305,19.2,377.17,0,0.413,10.81,6.2
24.1,6.78,0.07896,0,6.273,4.2515,5,398,18.7,394.92,0,0.437,12.83,6
21.4,8.94,0.09512,0,6.286,4.5026,5,398,18.7,383.23,0,0.437,12.83,45
20,11.97,0.10153,0,6.279,4.0522,5,398,18.7,373.66,0,0.437,12.83,74.5
20.8,10.27,0.08707,0,6.14,4.0905,5,398,18.7,386.96,0,0.437,12.83,45.8
21.2,12.34,0.05646,0,6.232,5.0141,5,398,18.7,386.4,0,0.437,12.83,53.7
20.3,9.1,0.08387,0,5.874,4.5026,5,398,18.7,396.06,0,0.437,12.83,36.6
28,5.29,0.04113,0,6.727,5.4007,4,281,19,396.9,25,0.426,4.86,33.5
23.9,7.22,0.04462,0,6.619,5.4007,4,281,19,395.63,25,0.426,4.86,70.4
24.8,6.72,0.03659,0,6.302,5.4007,4,281,19,396.9,25,0.426,4.86,32.2
22.9,7.51,0.03551,0,6.167,5.4007,4,281,19,390.64,25,0.426,4.86,46.7
23.9,9.62,0.05059,0,6.389,4.7794,3,247,18.5,396.9,0,0.449,4.49,48
26.6,6.53,0.05735,0,6.63,4.4377,3,247,18.5,392.3,0,0.449,4.49,56.1
22.5,12.86,0.05188,0,6.015,4.4272,3,247,18.5,395.99,0,0.449,4.49,45.1
22.2,8.44,0.07151,0,6.121,3.7476,3,247,18.5,395.15,0,0.449,4.49,56.8
23.6,5.5,0.0566,0,7.007,3.4217,2,270,17.8,396.9,0,0.489,3.41,86.3
28.7,5.7,0.05302,0,7.079,3.4145,2,270,17.8,396.06,0,0.489,3.41,63.1
22.6,8.81,0.04684,0,6.417,3.0923,2,270,17.8,392.18,0,0.489,3.41,66.1
22,8.2,0.03932,0,6.405,3.0921,2,270,17.8,393.55,0,0.489,3.41,73.9
22.9,8.16,0.04203,0,6.442,3.6659,4,270,18.2,395.01,28,0.464,15.04,53.6
25,6.21,0.02875,0,6.211,3.6659,4,270,18.2,396.33,28,0.464,15.04,28.9
20.6,10.59,0.04294,0,6.249,3.615,4,270,18.2,396.9,28,0.464,15.04,77.3
28.4,6.65,0.12204,0,6.625,3.4952,2,276,18,357.98,0,0.445,2.89,57.8
21.4,11.34,0.11504,0,6.163,3.4952,2,276,18,391.83,0,0.445,2.89,69.6
38.7,4.21,0.12083,0,8.069,3.4952,2,276,18,396.9,0,0.445,2.89,76
43.8,3.57,0.08187,0,7.82,3.4952,2,276,18,393.53,0,0.445,2.89,36.9
33.2,6.19,0.0686,0,7.416,3.4952,2,276,18,396.9,0,0.445,2.89,62.5
27.5,9.42,0.14866,0,6.727,2.7778,5,384,20.9,394.76,0,0.52,8.56,79.9
26.5,7.67,0.11432,0,6.781,2.8561,5,384,20.9,395.58,0,0.52,8.56,71.3
18.6,10.63,0.22876,0,6.405,2.7147,5,384,20.9,70.8,0,0.52,8.56,85.4
19.3,13.44,0.21161,0,6.137,2.7147,5,384,20.9,394.47,0,0.52,8.56,87.4
20.1,12.33,0.1396,0,6.167,2.421,5,384,20.9,392.69,0,0.52,8.56,90
19.5,16.47,0.13262,0,5.851,2.1069,5,384,20.9,394.05,0,0.52,8.56,96.7
19.5,18.66,0.1712,0,5.836,2.211,5,384,20.9,395.67,0,0.52,8.56,91.9
20.4,14.09,0.13117,0,6.127,2.1224,5,384,20.9,387.69,0,0.52,8.56,85.2
19.8,12.27,0.12802,0,6.474,2.4329,5,384,20.9,395.24,0,0.52,8.56,97.1
19.4,15.55,0.26363,0,6.229,2.5451,5,384,20.9,391.23,0,0.52,8.56,91.2
21.7,13,0.10793,0,6.195,2.7778,5,384,20.9,393.49,0,0.52,8.56,54.4
22.8,10.16,0.10084,0,6.715,2.6775,6,432,17.8,395.59,0,0.547,10.01,81.6
18.8,16.21,0.12329,0,5.913,2.3534,6,432,17.8,394.95,0,0.547,10.01,92.9
18.7,17.09,0.22212,0,6.092,2.548,6,432,17.8,396.9,0,0.547,10.01,95.4
18.5,10.45,0.14231,0,6.254,2.2565,6,432,17.8,388.74,0,0.547,10.01,84.2
18.3,15.76,0.17134,0,5.928,2.4631,6,432,17.8,344.91,0,0.547,10.01,88.2
21.2,12.04,0.13158,0,6.176,2.7301,6,432,17.8,393.3,0,0.547,10.01,72.5
19.2,10.3,0.15098,0,6.021,2.7474,6,432,17.8,394.51,0,0.547,10.01,82.6
20.4,15.37,0.13058,0,5.872,2.4775,6,432,17.8,338.63,0,0.547,10.01,73.1
19.3,13.61,0.14476,0,5.731,2.7592,6,432,17.8,391.5,0,0.547,10.01,65.2
22,14.37,0.06899,0,5.87,2.2577,2,188,19.1,389.15,0,0.581,25.65,69.7
20.3,14.27,0.07165,0,6.004,2.1974,2,188,19.1,377.67,0,0.581,25.65,84.1
20.5,17.93,0.09299,0,5.961,2.0869,2,188,19.1,378.09,0,0.581,25.65,92.9
17.3,25.41,0.15038,0,5.856,1.9444,2,188,19.1,370.31,0,0.581,25.65,97
18.8,17.58,0.09849,0,5.879,2.0063,2,188,19.1,379.38,0,0.581,25.65,95.8
21.4,14.81,0.16902,0,5.986,1.9929,2,188,19.1,385.02,0,0.581,25.65,88.4
15.7,27.26,0.38735,0,5.613,1.7572,2,188,19.1,359.29,0,0.581,25.65,95.6
16.2,17.19,0.25915,0,5.693,1.7883,4,437,21.2,392.11,0,0.624,21.89,96
18,15.39,0.32543,0,6.431,1.8125,4,437,21.2,396.9,0,0.624,21.89,98.8
14.3,18.34,0.88125,0,5.637,1.9799,4,437,21.2,396.9,0,0.624,21.89,94.7
19.2,12.6,0.34006,0,6.458,2.1185,4,437,21.2,395.04,0,0.624,21.89,98.9
19.6,12.26,1.19294,0,6.326,2.271,4,437,21.2,396.9,0,0.624,21.89,97.7
23,11.12,0.59005,0,6.372,2.3274,4,437,21.2,385.76,0,0.624,21.89,97.9
18.4,15.03,0.32982,0,5.822,2.4699,4,437,21.2,388.69,0,0.624,21.89,95.4
15.6,17.31,0.97617,0,5.757,2.346,4,437,21.2,262.76,0,0.624,21.89,98.4
18.1,16.96,0.55778,0,6.335,2.1107,4,437,21.2,394.67,0,0.624,21.89,98.2
17.4,16.9,0.32264,0,5.942,1.9669,4,437,21.2,378.25,0,0.624,21.89,93.5
17.1,14.59,0.35233,0,6.454,1.8498,4,437,21.2,394.08,0,0.624,21.89,98.4
13.3,21.32,0.2498,0,5.857,1.6686,4,437,21.2,392.04,0,0.624,21.89,98.2
17.8,18.46,0.54452,0,6.151,1.6687,4,437,21.2,396.9,0,0.624,21.89,97.9
14,24.16,0.2909,0,6.174,1.6119,4,437,21.2,388.08,0,0.624,21.89,93.6
14.4,34.41,1.62864,0,5.019,1.4394,4,437,21.2,396.9,0,0.624,21.89,100
13.4,26.82,3.32105,1,5.403,1.3216,5,403,14.7,396.9,0,0.871,19.58,100
15.6,26.42,4.0974,0,5.468,1.4118,5,403,14.7,396.9,0,0.871,19.58,100
11.8,29.29,2.77974,0,4.903,1.3459,5,403,14.7,396.9,0,0.871,19.58,97.8
13.8,27.8,2.37934,0,6.13,1.4191,5,403,14.7,172.91,0,0.871,19.58,100
15.6,16.65,2.15505,0,5.628,1.5166,5,403,14.7,169.27,0,0.871,19.58,100
14.6,29.53,2.36862,0,4.926,1.4608,5,403,14.7,391.71,0,0.871,19.58,95.7
17.8,28.32,2.33099,0,5.186,1.5296,5,403,14.7,356.99,0,0.871,19.58,93.8
15.4,21.45,2.73397,0,5.597,1.5257,5,403,14.7,351.85,0,0.871,19.58,94.9
21.5,14.1,1.6566,0,6.122,1.618,5,403,14.7,372.8,0,0.871,19.58,97.3
19.6,13.28,1.49632,0,5.404,1.5916,5,403,14.7,341.6,0,0.871,19.58,100
15.3,12.12,1.12658,1,5.012,1.6102,5,403,14.7,343.28,0,0.871,19.58,88
19.4,15.79,2.14918,0,5.709,1.6232,5,403,14.7,261.95,0,0.871,19.58,98.5
17,15.12,1.41385,1,6.129,1.7494,5,403,14.7,321.02,0,0.871,19.58,96
15.6,15.02,3.53501,1,6.152,1.7455,5,403,14.7,88.01,0,0.871,19.58,82.6
13.1,16.14,2.44668,0,5.272,1.7364,5,403,14.7,88.63,0,0.871,19.58,94
41.3,4.59,1.22358,0,6.943,1.8773,5,403,14.7,363.43,0,0.605,19.58,97.4
24.3,6.43,1.34284,0,6.066,1.7573,5,403,14.7,353.89,0,0.605,19.58,100
23.3,7.39,1.42502,0,6.51,1.7659,5,403,14.7,364.31,0,0.871,19.58,100
27,5.5,1.27346,1,6.25,1.7984,5,403,14.7,338.92,0,0.605,19.58,92.6
50,1.73,1.46336,0,7.489,1.9709,5,403,14.7,374.43,0,0.605,19.58,90.8
50,1.92,1.83377,1,7.802,2.0407,5,403,14.7,389.61,0,0.605,19.58,98.2
50,3.32,1.51902,1,8.375,2.162,5,403,14.7,388.45,0,0.605,19.58,93.9
22.7,11.64,2.24236,0,5.854,2.422,5,403,14.7,395.11,0,0.605,19.58,91.8
25,9.81,2.924,0,6.101,2.2834,5,403,14.7,240.16,0,0.605,19.58,93
50,3.7,2.01019,0,7.929,2.0459,5,403,14.7,369.3,0,0.605,19.58,96.2
23.8,12.14,1.80028,0,5.877,2.4259,5,403,14.7,227.61,0,0.605,19.58,79.2
23.8,11.1,2.3004,0,6.319,2.1,5,403,14.7,297.09,0,0.605,19.58,96.1
22.3,11.32,2.44953,0,6.402,2.2625,5,403,14.7,330.04,0,0.605,19.58,95.2
17.4,14.43,1.20742,0,5.875,2.4259,5,403,14.7,292.29,0,0.605,19.58,94.6
19.1,12.03,2.3139,0,5.88,2.3887,5,403,14.7,348.13,0,0.605,19.58,97.3
23.1,14.69,0.13914,0,5.572,2.5961,5,296,16.6,396.9,0,0.51,4.05,88.5
23.6,9.04,0.09178,0,6.416,2.6463,5,296,16.6,395.5,0,0.51,4.05,84.1
22.6,9.64,0.08447,0,5.859,2.7019,5,296,16.6,393.23,0,0.51,4.05,68.7
29.4,5.33,0.06664,0,6.546,3.1323,5,296,16.6,390.96,0,0.51,4.05,33.1
23.2,10.11,0.07022,0,6.02,3.5549,5,296,16.6,393.23,0,0.51,4.05,47.2
24.6,6.29,0.05425,0,6.315,3.3175,5,296,16.6,395.6,0,0.51,4.05,73.4
29.9,6.92,0.06642,0,6.86,2.9153,5,296,16.6,391.27,0,0.51,4.05,74.4
37.2,5.04,0.0578,0,6.98,2.829,3,193,17.8,396.9,0,0.488,2.46,58.4
39.8,7.56,0.06588,0,7.765,2.741,3,193,17.8,395.56,0,0.488,2.46,83.3
36.2,9.45,0.06888,0,6.144,2.5979,3,193,17.8,396.9,0,0.488,2.46,62.2
37.9,4.82,0.09103,0,7.155,2.7006,3,193,17.8,394.12,0,0.488,2.46,92.2
32.5,5.68,0.10008,0,6.563,2.847,3,193,17.8,396.9,0,0.488,2.46,95.6
26.4,13.98,0.08308,0,5.604,2.9879,3,193,17.8,391,0,0.488,2.46,89.8
29.6,13.15,0.06047,0,6.153,3.2797,3,193,17.8,387.11,0,0.488,2.46,68.8
50,4.45,0.05602,0,7.831,3.1992,3,193,17.8,392.63,0,0.488,2.46,53.6
32,6.68,0.07875,0,6.782,3.7886,5,398,15.2,393.87,45,0.437,3.44,41.1
29.8,4.56,0.12579,0,6.556,4.5667,5,398,15.2,382.84,45,0.437,3.44,29.1
34.9,5.39,0.0837,0,7.185,4.5667,5,398,15.2,396.9,45,0.437,3.44,38.9
37,5.1,0.09068,0,6.951,6.4798,5,398,15.2,377.68,45,0.437,3.44,21.5
30.5,4.69,0.06911,0,6.739,6.4798,5,398,15.2,389.71,45,0.437,3.44,30.8
36.4,2.87,0.08664,0,7.178,6.4798,5,398,15.2,390.49,45,0.437,3.44,26.3
31.1,5.03,0.02187,0,6.8,6.2196,1,265,15.6,393.37,60,0.401,2.93,9.9
29.1,4.38,0.01439,0,6.604,6.2196,1,265,15.6,376.7,60,0.401,2.93,18.8
50,2.97,0.01381,0,7.875,5.6484,4,255,14.4,394.23,80,0.422,0.46,32
33.3,4.08,0.04011,0,7.287,7.309,2,329,12.6,396.9,80,0.404,1.52,34.1
30.3,8.61,0.04666,0,7.107,7.309,2,329,12.6,354.31,80,0.404,1.52,36.6
34.6,6.62,0.03768,0,7.274,7.309,2,329,12.6,392.2,80,0.404,1.52,38.3
34.9,4.56,0.0315,0,6.975,7.6534,3,402,17,396.9,95,0.403,1.47,15.3
32.9,4.45,0.01778,0,7.135,7.6534,3,402,17,384.3,95,0.403,1.47,13.9
24.1,7.43,0.03445,0,6.162,6.27,2,348,14.7,393.77,82.5,0.415,2.03,38.4
42.3,3.11,0.02177,0,7.61,6.27,2,348,14.7,395.38,82.5,0.415,2.03,15.7
48.5,3.81,0.0351,0,7.853,5.118,4,224,14.7,392.78,95,0.4161,2.68,33.2
50,2.88,0.02009,0,8.034,5.118,4,224,14.7,390.55,95,0.4161,2.68,31.9
22.6,10.87,0.13642,0,5.891,3.9454,4,277,18.6,396.9,0,0.489,10.59,22.3
24.4,10.97,0.22969,0,6.326,4.3549,4,277,18.6,394.87,0,0.489,10.59,52.5
22.5,18.06,0.25199,0,5.783,4.3549,4,277,18.6,389.43,0,0.489,10.59,72.7
24.4,14.66,0.13587,1,6.064,4.2392,4,277,18.6,381.32,0,0.489,10.59,59.1
20,23.09,0.43571,1,5.344,3.875,4,277,18.6,396.9,0,0.489,10.59,100
21.7,17.27,0.17446,1,5.96,3.8771,4,277,18.6,393.25,0,0.489,10.59,92.1
19.3,23.98,0.37578,1,5.404,3.665,4,277,18.6,395.24,0,0.489,10.59,88.6
22.4,16.03,0.21719,1,5.807,3.6526,4,277,18.6,390.94,0,0.489,10.59,53.8
28.1,9.38,0.14052,0,6.375,3.9454,4,277,18.6,385.81,0,0.489,10.59,32.3
23.7,29.55,0.28955,0,5.412,3.5875,4,277,18.6,348.93,0,0.489,10.59,9.8
25,9.47,0.19802,0,6.182,3.9454,4,277,18.6,393.63,0,0.489,10.59,42.4
23.3,13.51,0.0456,1,5.888,3.1121,5,276,16.4,392.8,0,0.55,13.89,56
28.7,9.69,0.07013,0,6.642,3.4211,5,276,16.4,392.78,0,0.55,13.89,85.1
21.5,17.92,0.11069,1,5.951,2.8893,5,276,16.4,396.9,0,0.55,13.89,93.8
23,10.5,0.11425,1,6.373,3.3633,5,276,16.4,393.74,0,0.55,13.89,92.4
26.7,9.71,0.35809,1,6.951,2.8617,8,307,17.4,391.7,0,0.507,6.2,88.5
21.7,21.46,0.40771,1,6.164,3.048,8,307,17.4,395.24,0,0.507,6.2,91.3
27.5,9.93,0.62356,1,6.879,3.2721,8,307,17.4,390.39,0,0.507,6.2,77.7
30.1,7.6,0.6147,0,6.618,3.2721,8,307,17.4,396.9,0,0.507,6.2,80.8
44.8,4.14,0.31533,0,8.266,2.8944,8,307,17.4,385.05,0,0.504,6.2,78.3
50,4.63,0.52693,0,8.725,2.8944,8,307,17.4,382,0,0.504,6.2,83
37.6,3.13,0.38214,0,8.04,3.2157,8,307,17.4,387.38,0,0.504,6.2,86.5
31.6,6.36,0.41238,0,7.163,3.2157,8,307,17.4,372.08,0,0.504,6.2,79.9
46.7,3.92,0.29819,0,7.686,3.3751,8,307,17.4,377.51,0,0.504,6.2,17
31.5,3.76,0.44178,0,6.552,3.3751,8,307,17.4,380.34,0,0.504,6.2,21.4
24.3,11.65,0.537,0,5.981,3.6715,8,307,17.4,378.35,0,0.504,6.2,68.1
31.7,5.25,0.46296,0,7.412,3.6715,8,307,17.4,376.14,0,0.504,6.2,76.9
41.7,2.47,0.57529,0,8.337,3.8384,8,307,17.4,385.91,0,0.507,6.2,73.3
48.3,3.95,0.33147,0,8.247,3.6519,8,307,17.4,378.95,0,0.507,6.2,70.4
29,8.05,0.44791,1,6.726,3.6519,8,307,17.4,360.2,0,0.507,6.2,66.5
24,10.88,0.33045,0,6.086,3.6519,8,307,17.4,376.75,0,0.507,6.2,61.5
25.1,9.54,0.52058,1,6.631,4.148,8,307,17.4,388.45,0,0.507,6.2,76.5
31.5,4.73,0.51183,0,7.358,4.148,8,307,17.4,390.07,0,0.507,6.2,71.6
23.7,6.36,0.08244,0,6.481,6.1899,6,300,16.6,379.41,30,0.428,4.93,18.5
23.3,7.37,0.09252,0,6.606,6.1899,6,300,16.6,383.78,30,0.428,4.93,42.2
22,11.38,0.11329,0,6.897,6.3361,6,300,16.6,391.25,30,0.428,4.93,54.3
20.1,12.4,0.10612,0,6.095,6.3361,6,300,16.6,394.62,30,0.428,4.93,65.1
22.2,11.22,0.1029,0,6.358,7.0355,6,300,16.6,372.75,30,0.428,4.93,52.9
23.7,5.19,0.12757,0,6.393,7.0355,6,300,16.6,374.71,30,0.428,4.93,7.8
17.6,12.5,0.20608,0,5.593,7.9549,7,330,19.1,372.49,22,0.431,5.86,76.5
18.5,18.46,0.19133,0,5.605,7.9549,7,330,19.1,389.13,22,0.431,5.86,70.2
24.3,9.16,0.33983,0,6.108,8.0555,7,330,19.1,390.18,22,0.431,5.86,34.9
20.5,10.15,0.19657,0,6.226,8.0555,7,330,19.1,376.14,22,0.431,5.86,79.2
24.5,9.52,0.16439,0,6.433,7.8265,7,330,19.1,374.71,22,0.431,5.86,49.1
26.2,6.56,0.19073,0,6.718,7.8265,7,330,19.1,393.74,22,0.431,5.86,17.5
24.4,5.9,0.1403,0,6.487,7.3967,7,330,19.1,396.28,22,0.431,5.86,13
24.8,3.59,0.21409,0,6.438,7.3967,7,330,19.1,377.07,22,0.431,5.86,8.9
