MV,LSTAT,CRIM,CHAS,RM,DIS,RAD,TAX,PT,B,ZN,NOX,INDUS,AGE
29.6,3.53,0.08221,0,6.957,8.9067,7,330,19.1,386.09,22,0.431,5.86,6.8
42.8,3.54,0.36894,0,8.259,8.9067,7,330,19.1,396.9,22,0.431,5.86,8.4
21.9,6.57,0.04819,0,6.108,9.2203,1,315,16.4,392.89,80,0.392,3.64,32
20.9,9.25,0.03548,0,5.876,9.2203,1,315,16.4,395.18,80,0.392,3.64,19.1
44,3.11,0.01538,0,7.454,6.3361,3,244,15.9,386.34,90,0.394,3.75,34.2
50,5.12,0.61154,0,8.704,1.801,5,264,13,389.7,20,0.647,3.97,86.9
36,7.79,0.66351,0,7.333,1.8946,5,264,13,383.29,20,0.647,3.97,100
30.1,6.9,0.65665,0,6.842,2.0107,5,264,13,391.93,20,0.647,3.97,100
33.8,9.59,0.54011,0,7.203,2.1121,5,264,13,392.8,20,0.647,3.97,81.8
43.1,7.26,0.53412,0,7.52,2.1398,5,264,13,388.37,20,0.647,3.97,89.4
48.8,5.91,0.52014,0,8.398,2.2885,5,264,13,386.86,20,0.647,3.97,91.5
31,11.25,0.82526,0,7.327,2.0788,5,264,13,393.42,20,0.647,3.97,94.5
36.5,8.1,0.55007,0,7.206,1.9301,5,264,13,387.89,20,0.647,3.97,91.6
22.8,10.45,0.76162,0,5.56,1.9865,5,264,13,392.4,20,0.647,3.97,62.8
30.7,14.79,0.7857,0,7.014,2.1329,5,264,13,384.07,20,0.647,3.97,84.6
50,7.44,0.57834,0,8.297,2.4216,5,264,13,384.54,20,0.575,3.97,67
43.5,3.16,0.5405,0,7.47,2.872,5,264,13,390.3,20,0.575,3.97,52.6
20.7,13.65,0.09065,1,5.92,3.9175,3,223,18.6,391.34,20,0.464,6.96,61.5
21.1,13,0.29916,0,5.856,4.429,3,223,18.6,388.65,20,0.464,6.96,42.1
25.2,6.59,0.16211,0,6.24,4.429,3,223,18.6,396.9,20,0.464,6.96,16.3
24.4,7.73,0.1146,0,6.538,3.9175,3,223,18.6,394.96,20,0.464,6.96,58.7
35.2,6.58,0.22188,1,7.691,4.3665,3,223,18.6,390.77,20,0.464,6.96,51.8
32.4,3.53,0.05644,1,6.758,4.0776,4,254,17.6,396.9,40,0.447,6.41,32.9
32,2.98,0.09604,0,6.854,4.2673,4,254,17.6,396.9,40,0.447,6.41,42.8
33.2,6.05,0.10469,1,7.267,4.7872,4,254,17.6,389.25,40,0.447,6.41,49
33.1,4.16,0.06127,1,6.826,4.8628,4,254,17.6,393.45,40,0.447,6.41,27.6
29.1,7.19,0.07978,0,6.482,4.1403,4,254,17.6,396.9,40,0.447,6.41,32.1
35.1,4.85,0.21038,0,6.812,4.1007,5,216,14.9,396.9,20,0.4429,3.33,32.2
45.4,3.76,0.03578,0,7.82,4.6947,5,216,14.9,387.31,20,0.4429,3.33,64.5
35.4,4.59,0.03705,0,6.968,5.2447,5,216,14.9,392.23,20,0.4429,3.33,37.2
46,3.01,0.06129,1,7.645,5.2119,5,216,14.9,377.07,20,0.4429,3.33,49.7
50,3.16,0.01501,1,7.923,5.885,1,198,13.6,395.52,90,0.401,1.21,24.8
32.2,7.85,0.00906,0,7.088,7.3073,1,285,15.3,394.72,90,0.4,2.97,20.8
22,8.23,0.01096,0,6.453,7.3073,1,300,15.3,394.72,55,0.389,2.25,31.9
20.1,12.93,0.01965,0,6.23,9.0892,1,241,18.2,341.6,80,0.385,1.76,31.5
23.2,7.14,0.03871,0,6.209,7.3172,6,293,16.6,396.9,52.5,0.405,5.32,31.3
22.3,7.6,0.0459,0,6.315,7.3172,6,293,16.6,396.9,52.5,0.405,5.32,45.6
24.8,9.51,0.04297,0,6.565,7.3172,6,293,16.6,371.72,52.5,0.405,5.32,22.9
28.5,3.33,0.03502,0,6.861,5.1167,4,245,19.2,396.9,80,0.411,4.95,27.9
37.3,3.56,0.07886,0,7.148,5.1167,4,245,19.2,396.9,80,0.411,4.95,27.7
27.9,4.7,0.03615,0,6.63,5.1167,4,245,19.2,396.9,80,0.411,4.95,23.4
23.9,8.58,0.08265,0,6.127,5.5027,4,289,16,396.9,0,0.437,13.92,18.4
21.7,10.4,0.08199,0,6.009,5.5027,4,289,16,396.9,0,0.437,13.92,42.3
28.6,6.27,0.12932,0,6.678,5.9604,4,289,16,396.9,0,0.437,13.92,31.1
27.1,7.39,0.05372,0,6.549,5.9604,4,289,16,392.85,0,0.437,13.92,51
20.3,15.84,0.14103,0,5.79,6.32,4,289,16,396.9,0,0.437,13.92,58
22.5,4.97,0.06466,0,6.345,7.8278,5,358,14.8,368.24,70,0.4,2.24,20.1
29,4.74,0.05561,0,7.041,7.8278,5,358,14.8,371.58,70,0.4,2.24,10
24.8,6.07,0.04417,0,6.871,7.8278,5,358,14.8,390.86,70,0.4,2.24,47.4
22,9.5,0.03537,0,6.59,5.4917,7,329,16.1,395.75,34,0.433,6.09,40.4
26.4,8.67,0.09266,0,6.495,5.4917,7,329,16.1,383.61,34,0.433,6.09,18.4
33.1,4.86,0.1,0,6.982,5.4917,7,329,16.1,390.43,34,0.433,6.09,17.7
36.1,6.93,0.05515,0,7.236,4.022,7,222,18.4,393.68,33,0.472,2.18,41.1
28.4,8.93,0.05479,0,6.616,3.37,7,222,18.4,393.36,33,0.472,2.18,58.1
33.4,6.47,0.07503,0,7.42,3.0992,7,222,18.4,396.9,33,0.472,2.18,71.9
28.2,7.53,0.04932,0,6.849,3.1827,7,222,18.4,396.9,33,0.472,2.18,70.3
22.8,4.54,0.49298,0,6.635,3.3175,4,304,18.4,396.9,0,0.544,9.9,82.5
20.3,9.97,0.3494,0,5.972,3.1025,4,304,18.4,396.24,0,0.544,9.9,76.7
16.1,12.64,2.63548,0,4.973,2.5194,4,304,18.4,350.45,0,0.544,9.9,37.8
22.1,5.98,0.79041,0,6.122,2.6403,4,304,18.4,396.9,0,0.544,9.9,52.8
19.4,11.72,0.26169,0,6.023,2.834,4,304,18.4,396.3,0,0.544,9.9,90.4
21.6,7.9,0.26938,0,6.266,3.2628,4,304,18.4,393.39,0,0.544,9.9,82.8
23.8,9.28,0.3692,0,6.567,3.6023,4,304,18.4,395.69,0,0.544,9.9,87.3
16.2,11.5,0.25356,0,5.705,3.945,4,304,18.4,396.42,0,0.544,9.9,77.7
17.8,18.33,0.31827,0,5.914,3.9986,4,304,18.4,390.7,0,0.544,9.9,83.2
19.8,15.94,0.24522,0,5.782,4.0317,4,304,18.4,396.9,0,0.544,9.9,71.7
23.1,10.36,0.40202,0,6.382,3.5325,4,304,18.4,395.21,0,0.544,9.9,67.2
21,12.73,0.47547,0,6.113,4.0019,4,304,18.4,396.23,0,0.544,9.9,58.8
23.8,7.2,0.1676,0,6.426,4.5404,5,287,19.6,396.9,0,0.493,7.38,52.3
23.1,6.87,0.18159,0,6.376,4.5404,5,287,19.6,396.9,0,0.493,7.38,54.3
20.4,7.7,0.35114,0,6.041,4.7211,5,287,19.6,396.9,0,0.493,7.38,49.9
18.5,11.74,0.28392,0,5.708,4.7211,5,287,19.6,391.13,0,0.493,7.38,74.3
25,6.12,0.34109,0,6.415,4.7211,5,287,19.6,396.9,0,0.493,7.38,40.1
24.6,5.08,0.19186,0,6.431,5.4159,5,287,19.6,393.68,0,0.493,7.38,14.7
23,6.15,0.30347,0,6.312,5.4159,5,287,19.6,396.9,0,0.493,7.38,28.9
22.2,12.79,0.24103,0,6.083,5.4159,5,287,19.6,396.9,0,0.493,7.38,43.7
19.3,9.97,0.06617,0,5.868,5.2146,4,430,16.9,382.44,0,0.46,3.24,25.8
22.6,7.34,0.06724,0,6.333,5.2146,4,430,16.9,375.21,0,0.46,3.24,17.2
19.8,9.09,0.04544,0,6.144,5.8736,4,430,16.9,368.57,0,0.46,3.24,32.2
17.1,12.43,0.05023,0,5.706,6.6407,1,304,16.9,394.02,35,0.4379,6.06,28.4
19.4,7.83,0.03466,0,6.031,6.6407,1,304,16.9,362.25,35,0.4379,6.06,23.3
22.2,5.68,0.05083,0,6.316,6.4584,5,224,20.2,389.71,0,0.515,5.19,38.1
20.7,6.75,0.03738,0,6.31,6.4584,5,224,20.2,389.4,0,0.515,5.19,38.5
21.1,8.01,0.03961,0,6.037,5.9853,5,224,20.2,396.9,0,0.515,5.19,34.5
19.5,9.8,0.03427,0,5.869,5.2311,5,224,20.2,396.9,0,0.515,5.19,46.3
18.5,10.56,0.03041,0,5.895,5.615,5,224,20.2,394.81,0,0.515,5.19,59.6
20.6,8.51,0.03306,0,6.059,4.8122,5,224,20.2,396.14,0,0.515,5.19,37.3
19,9.74,0.05497,0,5.985,4.8122,5,224,20.2,396.9,0,0.515,5.19,45.4
18.7,9.29,0.06151,0,5.968,4.8122,5,224,20.2,396.9,0,0.515,5.19,58.5
32.7,5.49,0.01301,0,7.241,7.0379,1,284,15.5,394.74,35,0.442,1.52,49.3
16.5,8.65,0.02498,0,6.54,6.2669,1,422,15.9,389.96,0,0.518,1.89,59.7
23.9,7.18,0.02543,0,6.696,5.7321,5,370,17.6,396.9,55,0.484,3.78,56.4
31.2,4.61,0.03049,0,6.874,6.4654,5,370,17.6,387.97,55,0.484,3.78,28.1
17.5,10.53,0.03113,0,6.014,8.0136,3,352,18.8,385.64,0,0.442,4.39,48.5
17.2,12.67,0.06162,0,5.898,8.0136,3,352,18.8,364.61,0,0.442,4.39,52.3
23.1,6.36,0.0187,0,6.516,8.5353,4,351,17.9,392.43,85,0.429,4.15,27.7
24.5,5.99,0.01501,0,6.635,8.344,4,280,17,390.94,80,0.435,2.01,29.7
26.6,5.89,0.02899,0,6.939,8.7921,1,335,19.7,389.85,40,0.429,1.25,34.5
22.9,5.98,0.06211,0,6.49,8.7921,1,335,19.7,396.9,40,0.429,1.25,44.4
24.1,5.49,0.0795,0,6.579,10.7103,4,411,18.3,370.78,60,0.411,1.69,35.9
18.6,7.79,0.07244,0,5.884,10.7103,4,411,18.3,392.33,60,0.411,1.69,18.5
30.1,4.5,0.01709,0,6.728,12.1265,5,187,17,384.46,90,0.41,2.02,36.1
18.2,8.05,0.04301,0,5.663,10.5857,4,334,22,382.8,80,0.413,1.91,21.9
20.6,5.57,0.10659,0,5.936,10.5857,4,334,22,376.04,80,0.413,1.91,19.5
17.8,17.6,8.98296,1,6.212,2.1222,24,666,20.2,377.73,0,0.77,18.1,97.4
21.7,13.27,3.8497,1,6.395,2.5052,24,666,20.2,391.34,0,0.77,18.1,91
22.7,11.48,5.20177,1,6.127,2.7227,24,666,20.2,395.43,0,0.77,18.1,83.4
22.6,12.67,4.26131,0,6.112,2.5091,24,666,20.2,390.74,0,0.77,18.1,81.3
25,7.79,4.54192,0,6.398,2.5182,24,666,20.2,374.56,0,0.77,18.1,88
19.9,14.19,3.83684,0,6.251,2.2955,24,666,20.2,350.65,0,0.77,18.1,91.1
20.8,10.19,3.67822,0,5.362,2.1036,24,666,20.2,380.79,0,0.77,18.1,96.2
16.8,14.64,4.22239,1,5.803,1.9047,24,666,20.2,353.04,0,0.77,18.1,89
21.9,5.29,3.47428,1,8.78,1.9047,24,666,20.2,354.55,0,0.718,18.1,82.9
27.5,7.12,4.55587,0,3.561,1.6132,24,666,20.2,354.7,0,0.718,18.1,87.9
21.9,14,3.69695,0,4.963,1.7523,24,666,20.2,316.03,0,0.718,18.1,91.4
23.1,13.33,13.5222,0,3.863,1.5106,24,666,20.2,131.42,0,0.631,18.1,100
50,3.26,4.89822,0,4.97,1.3325,24,666,20.2,375.52,0,0.631,18.1,100
50,3.73,5.66998,1,6.683,1.3567,24,666,20.2,375.33,0,0.631,18.1,96.8
50,2.96,6.53876,1,7.016,1.2024,24,666,20.2,392.05,0,0.631,18.1,97.5
50,9.53,9.2323,0,6.216,1.1691,24,666,20.2,366.15,0,0.631,18.1,100
50,8.88,8.26725,1,5.875,1.1296,24,666,20.2,347.88,0,0.668,18.1,89.6
13.8,34.77,11.1081,0,4.906,1.1742,24,666,20.2,396.9,0,0.668,18.1,100
13.8,37.97,18.4982,0,4.138,1.137,24,666,20.2,396.9,0,0.668,18.1,100
15,13.44,19.6091,0,7.313,1.3163,24,666,20.2,396.9,0,0.671,18.1,97.9
13.9,23.24,15.288,0,6.649,1.3449,24,666,20.2,363.02,0,0.671,18.1,93.3
13.3,21.24,9.82349,0,6.794,1.358,24,666,20.2,396.9,0,0.671,18.1,98.8
13.1,23.69,23.6482,0,6.38,1.3861,24,666,20.2,396.9,0,0.671,18.1,96.2
10.2,21.78,17.8667,0,6.223,1.3861,24,666,20.2,393.74,0,0.671,18.1,100
10.4,17.21,88.9762,0,6.968,1.4165,24,666,20.2,396.9,0,0.671,18.1,91.9
10.9,21.08,15.8744,0,6.545,1.5192,24,666,20.2,396.9,0,0.671,18.1,99.1
11.3,23.6,9.18702,0,5.536,1.5804,24,666,20.2,396.9,0,0.7,18.1,100
12.3,24.56,7.99248,0,5.52,1.5331,24,666,20.2,396.9,0,0.7,18.1,100
8.8,30.63,20.0849,0,4.368,1.4395,24,666,20.2,285.83,0,0.7,18.1,91.2
7.2,30.81,16.8118,0,5.277,1.4261,24,666,20.2,396.9,0,0.7,18.1,98.1
10.5,28.28,24.3938,0,4.652,1.4672,24,666,20.2,396.9,0,0.7,18.1,100
7.4,31.99,22.5971,0,5,1.5184,24,666,20.2,396.9,0,0.7,18.1,89.5
10.2,30.62,14.3337,0,4.88,1.5895,24,666,20.2,372.92,0,0.7,18.1,100
11.5,20.85,8.15174,0,5.39,1.7281,24,666,20.2,396.9,0,0.7,18.1,98.9
15.1,17.11,6.96215,0,5.713,1.9265,24,666,20.2,394.43,0,0.7,18.1,97
23.2,18.76,5.29305,0,6.051,2.1678,24,666,20.2,378.38,0,0.7,18.1,82.5
9.7,25.68,11.5779,0,5.036,1.77,24,666,20.2,396.9,0,0.7,18.1,97
13.8,15.17,8.64476,0,6.193,1.7912,24,666,20.2,396.9,0,0.693,18.1,92.6
12.7,16.35,13.3598,0,5.887,1.7821,24,666,20.2,396.9,0,0.693,18.1,94.7
13.1,17.12,8.71675,0,6.471,1.7257,24,666,20.2,391.98,0,0.693,18.1,98.8
12.5,19.37,5.87205,0,6.405,1.6768,24,666,20.2,396.9,0,0.693,18.1,96
8.5,19.92,7.67202,0,5.747,1.6334,24,666,20.2,393.1,0,0.693,18.1,98.9
5,30.59,38.3518,0,5.453,1.4896,24,666,20.2,396.9,0,0.693,18.1,100
6.3,29.97,9.91655,0,5.852,1.5004,24,666,20.2,338.16,0,0.693,18.1,77.8
5.6,26.77,25.0461,0,5.987,1.5888,24,666,20.2,396.9,0,0.693,18.1,100
7.2,20.32,14.2362,0,6.343,1.5741,24,666,20.2,396.9,0,0.693,18.1,100
12.1,20.31,9.59571,0,6.404,1.639,24,666,20.2,376.11,0,0.693,18.1,100
8.3,19.77,24.8017,0,5.349,1.7028,24,666,20.2,396.9,0,0.693,18.1,96
8.5,27.38,41.5292,0,5.531,1.6074,24,666,20.2,329.46,0,0.693,18.1,85.4
5,22.98,67.9208,0,5.683,1.4254,24,666,20.2,384.97,0,0.693,18.1,100
11.9,23.34,20.7162,0,4.138,1.1781,24,666,20.2,370.22,0,0.659,18.1,100
27.9,12.13,11.9511,0,5.608,1.2852,24,666,20.2,332.09,0,0.659,18.1,100
17.2,26.4,7.40389,0,5.617,1.4547,24,666,20.2,314.64,0,0.597,18.1,97.9
27.5,19.78,14.4383,0,6.852,1.4655,24,666,20.2,179.36,0,0.597,18.1,100
15,10.11,51.1358,0,5.757,1.413,24,666,20.2,2.6,0,0.597,18.1,100
17.2,21.22,14.0507,0,6.657,1.5275,24,666,20.2,35.05,0,0.597,18.1,100
17.9,34.37,18.811,0,4.628,1.5539,24,666,20.2,28.79,0,0.597,18.1,100
16.3,20.08,28.6558,0,5.155,1.5894,24,666,20.2,210.97,0,0.597,18.1,100
7,36.98,45.7461,0,4.519,1.6582,24,666,20.2,88.27,0,0.693,18.1,100
7.2,29.05,18.0846,0,6.434,1.8347,24,666,20.2,27.25,0,0.679,18.1,100
7.5,25.79,10.8342,0,6.782,1.8195,24,666,20.2,21.57,0,0.679,18.1,90.8
10.4,26.64,25.9406,0,5.304,1.6475,24,666,20.2,127.36,0,0.679,18.1,89.1
8.8,20.62,73.5341,0,5.957,1.8026,24,666,20.2,16.45,0,0.679,18.1,100
8.4,22.74,11.8123,0,6.824,1.794,24,666,20.2,48.45,0,0.718,18.1,76.5
16.7,15.02,11.0874,0,6.411,1.8589,24,666,20.2,318.75,0,0.718,18.1,100
14.2,15.7,7.02259,0,6.006,1.8746,24,666,20.2,319.98,0,0.718,18.1,95.3
20.8,14.1,12.0482,0,5.648,1.9512,24,666,20.2,291.55,0,0.614,18.1,87.6
13.4,23.29,7.05042,0,6.103,2.0218,24,666,20.2,2.52,0,0.614,18.1,85.1
11.7,17.16,8.79212,0,5.565,2.0635,24,666,20.2,3.65,0,0.584,18.1,70.6
8.3,24.39,15.8603,0,5.896,1.9096,24,666,20.2,7.68,0,0.679,18.1,95.4
10.2,15.69,12.2472,0,5.837,1.9976,24,666,20.2,24.65,0,0.584,18.1,59.7
10.9,14.52,37.6619,0,6.202,1.8629,24,666,20.2,18.82,0,0.679,18.1,78.7
11,21.52,7.36711,0,6.193,1.9356,24,666,20.2,96.73,0,0.679,18.1,78.1
9.5,24.08,9.33889,0,6.38,1.9682,24,666,20.2,60.72,0,0.679,18.1,95.6
14.5,17.64,8.49213,0,6.348,2.0527,24,666,20.2,83.45,0,0.584,18.1,86.1
14.1,19.69,10.0623,0,6.833,2.0882,24,666,20.2,81.33,0,0.584,18.1,94.3
16.1,12.03,6.44405,0,6.425,2.2004,24,666,20.2,97.95,0,0.584,18.1,74.8
14.3,16.22,5.58107,0,6.436,2.3158,24,666,20.2,100.19,0,0.713,18.1,87.9
11.7,15.17,13.9134,0,6.208,2.2222,24,666,20.2,100.63,0,0.713,18.1,95
13.4,23.27,11.1604,0,6.629,2.1247,24,666,20.2,109.85,0,0.74,18.1,94.6
9.6,18.05,14.4208,0,6.461,2.0026,24,666,20.2,27.49,0,0.74,18.1,93.3
8.7,26.45,15.1772,0,6.152,1.9142,24,666,20.2,9.32,0,0.74,18.1,100
8.4,34.02,13.6781,0,5.935,1.8206,24,666,20.2,68.95,0,0.74,18.1,87.9
12.8,22.88,9.39063,0,5.627,1.8172,24,666,20.2,396.9,0,0.74,18.1,93.9
10.5,22.11,22.0511,0,5.818,1.8662,24,666,20.2,391.45,0,0.74,18.1,92.4
17.1,19.52,9.72418,0,6.406,2.0651,24,666,20.2,385.96,0,0.74,18.1,97.2
18.4,16.59,5.66637,0,6.219,2.0048,24,666,20.2,395.69,0,0.74,18.1,100
15.4,18.85,9.96654,0,6.485,1.9784,24,666,20.2,386.73,0,0.74,18.1,100
10.8,23.79,12.8023,0,5.854,1.8956,24,666,20.2,240.52,0,0.74,18.1,96.6
11.8,23.98,10.6718,0,6.459,1.9879,24,666,20.2,43.06,0,0.74,18.1,94.8
14.9,17.79,6.28807,0,6.341,2.072,24,666,20.2,318.01,0,0.74,18.1,96.4
12.6,16.44,9.92485,0,6.251,2.198,24,666,20.2,388.52,0,0.74,18.1,96.6
14.1,18.13,9.32909,0,6.185,2.2616,24,666,20.2,396.9,0,0.713,18.1,98.7
13,19.31,7.52601,0,6.417,2.185,24,666,20.2,304.21,0,0.713,18.1,98.3
13.4,17.44,6.71772,0,6.749,2.3236,24,666,20.2,0.32,0,0.713,18.1,92.6
15.2,17.73,5.44114,0,6.655,2.3552,24,666,20.2,355.29,0,0.713,18.1,98.2
16.1,17.27,5.09017,0,6.297,2.3682,24,666,20.2,385.09,0,0.713,18.1,91.8
17.8,16.74,8.24809,0,7.393,2.4527,24,666,20.2,375.87,0,0.713,18.1,99.3
14.9,18.71,9.51363,0,6.728,2.4961,24,666,20.2,6.68,0,0.713,18.1,94.1
14.1,18.13,4.75237,0,6.525,2.4358,24,666,20.2,50.92,0,0.713,18.1,86.5
12.7,19.01,4.66883,0,5.976,2.5806,24,666,20.2,10.48,0,0.713,18.1,87.9
13.5,16.94,8.20058,0,5.936,2.7792,24,666,20.2,3.5,0,0.713,18.1,80.3
14.9,16.23,7.75223,0,6.301,2.7831,24,666,20.2,272.21,0,0.713,18.1,83.7
20,14.7,6.80117,0,6.081,2.7175,24,666,20.2,396.9,0,0.713,18.1,84.4
16.4,16.42,4.81213,0,6.701,2.5975,24,666,20.2,255.23,0,0.713,18.1,90
17.7,14.65,3.69311,0,6.376,2.5671,24,666,20.2,391.43,0,0.713,18.1,88.4
19.5,13.99,6.65492,0,6.317,2.7344,24,666,20.2,396.9,0,0.713,18.1,83
20.2,10.29,5.82115,0,6.513,2.8016,24,666,20.2,393.82,0,0.713,18.1,89.9
21.4,13.22,7.83932,0,6.209,2.9634,24,666,20.2,396.9,0,0.655,18.1,65.4
19.9,14.13,3.1636,0,5.759,3.0665,24,666,20.2,334.4,0,0.655,18.1,48.2
19,17.15,3.77498,0,5.952,2.8715,24,666,20.2,22.01,0,0.655,18.1,84.7
19.1,21.32,4.42228,0,6.003,2.5403,24,666,20.2,331.29,0,0.584,18.1,94.5
19.1,18.13,15.5757,0,5.926,2.9084,24,666,20.2,368.74,0,0.58,18.1,71
20.1,14.76,13.0751,0,5.713,2.8237,24,666,20.2,396.9,0,0.58,18.1,56.7
19.9,16.29,4.34879,0,6.167,3.0334,24,666,20.2,396.9,0,0.58,18.1,84
19.6,12.87,4.03841,0,6.229,3.0993,24,666,20.2,395.33,0,0.532,18.1,90.7
23.2,14.36,3.56868,0,6.437,2.8965,24,666,20.2,393.37,0,0.58,18.1,75
29.8,11.66,4.64689,0,6.98,2.5329,24,666,20.2,374.68,0,0.614,18.1,67.6
13.8,18.14,8.05579,0,5.427,2.4298,24,666,20.2,352.58,0,0.584,18.1,95.4
13.3,24.1,6.39312,0,6.162,2.206,24,666,20.2,302.76,0,0.584,18.1,97.4
16.7,18.68,4.87141,0,6.484,2.3053,24,666,20.2,396.21,0,0.614,18.1,93.6
12,24.91,15.0234,0,5.304,2.1007,24,666,20.2,349.48,0,0.614,18.1,97.3
14.6,18.03,10.233,0,6.185,2.1705,24,666,20.2,379.7,0,0.614,18.1,96.7
21.4,13.11,14.3337,0,6.229,1.9512,24,666,20.2,383.32,0,0.614,18.1,88
23,10.74,5.82401,0,6.242,3.4242,24,666,20.2,396.9,0,0.532,18.1,64.7
23.7,7.74,5.70818,0,6.75,3.3317,24,666,20.2,393.07,0,0.532,18.1,74.9
25,7.01,5.73116,0,7.061,3.4106,24,666,20.2,395.28,0,0.532,18.1,77
21.8,10.42,2.81838,0,5.762,4.0983,24,666,20.2,392.92,0,0.532,18.1,40.3
20.6,13.34,2.37857,0,5.871,3.724,24,666,20.2,370.73,0,0.583,18.1,41.9
21.2,10.58,3.67367,0,6.312,3.9917,24,666,20.2,388.62,0,0.583,18.1,51.9
19.1,14.98,5.69175,0,6.114,3.5459,24,666,20.2,392.68,0,0.583,18.1,79.8
20.6,11.45,4.83567,0,5.905,3.1523,24,666,20.2,388.22,0,0.583,18.1,53.2
15.2,18.06,0.15086,0,5.454,1.8209,4,711,20.1,395.09,0,0.609,27.74,92.7
7,23.97,0.18337,0,5.414,1.7554,4,711,20.1,344.05,0,0.609,27.74,98.3
8.1,29.68,0.20746,0,5.093,1.8226,4,711,20.1,318.43,0,0.609,27.74,98
13.6,18.07,0.10574,0,5.983,1.8681,4,711,20.1,390.11,0,0.609,27.74,98.8
20.1,13.35,0.11132,0,5.983,2.1099,4,711,20.1,396.9,0,0.609,27.74,83.5
21.8,12.01,0.17331,0,5.707,2.3817,6,391,19.2,396.9,0,0.585,9.69,54
24.5,13.59,0.27957,0,5.926,2.3817,6,391,19.2,396.9,0,0.585,9.69,42.6
23.1,17.6,0.17899,0,5.67,2.7986,6,391,19.2,393.29,0,0.585,9.69,28.8
19.7,21.14,0.2896,0,5.39,2.7986,6,391,19.2,396.9,0,0.585,9.69,72.9
18.3,14.1,0.26838,0,5.794,2.8927,6,391,19.2,396.9,0,0.585,9.69,70.6
21.2,12.92,0.23912,0,6.019,2.4091,6,391,19.2,396.9,0,0.585,9.69,65.3
17.5,15.1,0.17783,0,5.569,2.3999,6,391,19.2,395.77,0,0.585,9.69,73.5
16.8,14.33,0.22438,0,6.027,2.4982,6,391,19.2,396.9,0,0.585,9.69,79.7
22.4,9.67,0.06263,0,6.593,2.4786,1,273,21,391.99,0,0.573,11.93,69.1
20.6,9.08,0.04527,0,6.12,2.2875,1,273,21,396.9,0,0.573,11.93,76.7
23.9,5.64,0.06076,0,6.976,2.1675,1,273,21,396.9,0,0.573,11.93,91
22,6.48,0.10959,0,6.794,2.3889,1,273,21,393.45,0,0.573,11.93,89.3
11.9,7.88,0.04741,0,6.03,2.505,1,273,21,396.9,0,0.573,11.93,80.8
